epoch,loss,accuracy
786, 0.00214,30.938
787, 0.00213,30.707
788, 0.00215,30.799
789, 0.00213,30.592
790, 0.00214,30.131
791, 0.00214,30.177
792, 0.00214,30.223
793, 0.00214,30.477
794, 0.00214,30.385
795, 0.00215,30.316
796, 0.00214,30.177
797, 0.00213,30.569
798, 0.00214,30.293
799, 0.00213,30.938
800, 0.00213,30.500
801, 0.00216,30.062
802, 0.00214,30.523
803, 0.00212,30.569
804, 0.00213,30.776
805, 0.00215,29.947
806, 0.00214,30.270
807, 0.00214,30.569
808, 0.00215,30.454
809, 0.00214,30.431
810, 0.00213,31.145
811, 0.00214,30.891
812, 0.00213,30.661
813, 0.00213,30.200
814, 0.00214,30.684
815, 0.00213,30.316
816, 0.00215,30.638
817, 0.00213,30.477
818, 0.00213,30.915
819, 0.00214,30.707
820, 0.00215,30.730
821, 0.00214,30.131
822, 0.00216,30.500
823, 0.00212,31.513
824, 0.00213,30.799
825, 0.00212,30.845
826, 0.00215,30.615
827, 0.00214,30.523
828, 0.00215,30.661
829, 0.00213,30.408
830, 0.00213,31.099
831, 0.00214,30.523
832, 0.00214,31.583
833, 0.00212,30.684
834, 0.00214,30.915
835, 0.00214,30.799
836, 0.00213,30.339
837, 0.00213,31.099
838, 0.00214,31.168
839, 0.00213,30.845
840, 0.00214,30.961
841, 0.00213,30.246
842, 0.00213,30.822
843, 0.00214,30.891
844, 0.00213,31.099
845, 0.00214,30.707
846, 0.00214,30.062
847, 0.00214,30.431
848, 0.00214,30.638
849, 0.00213,30.293
850, 0.00214,31.145
851, 0.00214,30.776
852, 0.00214,31.721
853, 0.00214,30.638
854, 0.00214,30.477
855, 0.00214,30.961
856, 0.00215,30.108
857, 0.00213,31.007
858, 0.00214,30.638
859, 0.00214,30.868
860, 0.00214,30.454
861, 0.00216,29.878
862, 0.00213,31.122
863, 0.00215,30.546
864, 0.00213,30.753
865, 0.00214,30.799
866, 0.00214,30.362
867, 0.00214,31.191
868, 0.00213,30.615
869, 0.00213,29.809
870, 0.00215,30.569
871, 0.00214,30.569
872, 0.00213,30.270
873, 0.00215,30.500
874, 0.00213,30.845
875, 0.00214,30.753
876, 0.00214,30.246
877, 0.00214,29.878
878, 0.00214,30.799
879, 0.00213,30.523
880, 0.00214,30.431
881, 0.00214,30.730
882, 0.00213,30.799
883, 0.00212,31.053
884, 0.00214,30.039
885, 0.00214,30.223
886, 0.00213,30.523
887, 0.00213,30.062
888, 0.00214,30.454
889, 0.00214,30.293
890, 0.00214,30.822
891, 0.00213,30.730
892, 0.00213,30.730
893, 0.00214,31.191
894, 0.00213,30.891
895, 0.00216,30.246
896, 0.00214,30.938
897, 0.00213,30.938
898, 0.00213,30.431
899, 0.00214,30.615
900, 0.00213,31.122
901, 0.00213,31.329
